Date,Day,Time,Hour,Booking_ID,Booking_Status,Cancel_Reason,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Booking_Value,Ride_Distance,Driver_Rating,Customer_Rating,
04-05-24,Saturday,6:17:00 PM,18,CNR3196156650,Cancelled,Driver Unavailable,CID243275,Bike,Electronic City,Langford Town,401,8,,,
15-05-24,Wednesday,8:21:00 AM,8,CNR9975925287,Completed,,CID162055,Prime SUV,Magadi Road,RT Nagar,343,17,4.4,4.4,
22-05-24,Wednesday,9:27:00 AM,9,CNR1591113431,Cancelled,Driver Unavailable,CID902781,eBike,Koramangala,Sarjapur Road,2014,33,,,
24-05-24,Friday,9:57:00 AM,9,CNR3650331573,Cancelled,Driver Unavailable,CID217093,eBike,Basavanagudi,Hulimavu,650,34,,,
25-05-24,Saturday,9:37:00 AM,9,CNR6013805089,Incomplete,,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,231,2,,,
21-05-24,Tuesday,4:49:00 PM,16,CNR4306636052,Cancelled,Driver Cancelled,CID103842,Prime SUV,Mysore Road,Vijayanagar,909,0,,,
14-05-24,Tuesday,9:51:00 AM,9,CNR9832070187,Completed,,CID655872,Bike,Koramangala,BTM Layout,189,6,3.9,4.6,
27-05-24,Monday,6:33:00 AM,6,CNR5620539253,Cancelled,Driver Cancelled,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,311,28,,,
23-05-24,Thursday,3:21:00 PM,15,CNR4443921904,Cancelled,Customer Cancelled,CID654618,Mini,Tumkur Road,Koramangala,286,44,,,
30-05-24,Thursday,8:18:00 AM,8,CNR7194303296,Completed,,CID538245,Mini,Mysore Road,Hennur,141,35,4,4.2,
16-05-24,Thursday,9:45:00 AM,9,CNR6494005067,Cancelled,Driver Cancelled,CID805360,Auto,Yelahanka,Malleshwaram,214,2,,,
27-05-24,Monday,5:38:00 PM,17,CNR6805579107,Cancelled,Driver Unavailable,CID810214,Prime SUV,Indiranagar,Indiranagar,2183,20,,,
12-05-24,Sunday,7:29:00 AM,7,CNR6003663433,Cancelled,Customer Cancelled,CID350426,Prime Plus,Rajajinagar,Chamarajpet,604,0,,,
15-05-24,Wednesday,4:21:00 AM,4,CNR2998177390,Completed,,CID946041,Auto,RT Nagar,Yelahanka,802,0,4.2,4.5,
29-05-24,Wednesday,2:16:00 PM,14,CNR7979458138,Completed,,CID978509,eBike,Frazer Town,Indiranagar,1095,38,3.5,3.9,
22-05-24,Wednesday,8:58:00 AM,8,CNR7286474506,Cancelled,Driver Cancelled,CID500806,eBike,Jayanagar,Richmond Town,120,0,,,
28-05-24,Tuesday,5:13:00 PM,17,CNR9820692957,Completed,,CID625327,Prime Sedan,Koramangala,Hosur Road,241,33,3.7,4,
13-05-24,Monday,6:59:00 AM,6,CNR4094067439,Completed,,CID896062,Prime Sedan,Majestic,Jayanagar,475,45,5,4.5,
20-05-24,Monday,5:53:00 PM,17,CNR7142279862,Cancelled,Customer Cancelled,CID378034,eBike,Yeshwanthpur,JP Nagar,461,49,,,
26-05-24,Sunday,1:32:00 AM,1,CNR5488574120,Completed,,CID169284,Auto,Peenya,Hosur Road,783,0,3.5,4.6,
02-05-24,Thursday,8:17:00 AM,8,CNR8148468821,Completed,,CID347094,Prime Plus,Marathahalli,BTM Layout,995,0,4.6,4.3,
01-05-24,Wednesday,5:07:00 AM,5,CNR5176704322,Completed,,CID296026,Prime Plus,KR Puram,Hennur,1102,41,4.7,4,
14-05-24,Tuesday,12:41:00 PM,12,CNR9287248724,Completed,,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,170,0,3.8,4.9,
21-05-24,Tuesday,3:05:00 PM,15,CNR7547352327,Completed,,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,444,6,4.4,3.9,
10-05-24,Friday,8:39:00 AM,8,CNR9660405769,Completed,,CID483311,eBike,Electronic City,Varthur,1130,0,3.6,5,
24-05-24,Friday,2:15:00 AM,2,CNR4251304471,Completed,,CID888740,Prime SUV,Shivajinagar,Jayanagar,876,21,3.9,4.3,
14-05-24,Tuesday,4:23:00 AM,4,CNR1568684278,Completed,,CID709612,Prime Plus,Bannerghatta Road,Majestic,680,24,3.6,4.7,
21-05-24,Tuesday,3:45:00 AM,3,CNR2230045814,Completed,,CID961125,Prime SUV,Cox Town,Chamarajpet,425,11,4.6,4.8,
06-05-24,Monday,10:47:00 AM,10,CNR7871058089,Completed,,CID221021,Mini,Hennur,Kengeri,989,4,4.2,4.5,
13-05-24,Monday,7:24:00 AM,7,CNR5503358927,Completed,,CID552049,Bike,Peenya,MG Road,594,0,4.5,4.9,
28-05-24,Tuesday,2:55:00 PM,14,CNR2708187615,Completed,,CID415325,Prime Plus,Devanahalli,Rajajinagar,443,5,3.7,4.9,
16-05-24,Thursday,5:53:00 AM,5,CNR1625119636,Completed,,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,721,19,4,4.5,
18-05-24,Saturday,2:48:00 PM,14,CNR9312632867,Completed,,CID649563,Prime SUV,Tumkur Road,Mysore Road,2936,34,4.2,4.6,
07-05-24,Tuesday,8:27:00 AM,8,CNR5274603340,Completed,,CID477783,Prime SUV,Electronic City,Banashankari,747,25,3.8,3.9,
29-05-24,Wednesday,8:24:00 AM,8,CNR1050003752,Incomplete,,CID993137,Bike,Chamarajpet,Shivajinagar,799,25,,,
23-05-24,Thursday,11:54:00 AM,11,CNR3603517873,Cancelled,Driver Cancelled,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,300,14,,,
08-05-24,Wednesday,4:45:00 PM,16,CNR1557960488,Cancelled,Driver Unavailable,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,162,0,,,
04-05-24,Saturday,11:04:00 PM,23,CNR9758857830,Completed,,CID528642,Prime Plus,HSR Layout,Magadi Road,618,30,4.3,4.7,
17-05-24,Friday,7:44:00 AM,7,CNR8080410192,Completed,,CID416746,eBike,Jayanagar,JP Nagar,251,9,3.9,4.4,
04-05-24,Saturday,2:30:00 PM,14,CNR1648186942,Completed,,CID713303,Bike,Hennur,Padmanabhanagar,543,0,3.9,4,
29-05-24,Wednesday,8:34:00 PM,20,CNR2433490646,Incomplete,,CID954071,Mini,Hennur,Chamarajpet,724,11,,,
09-05-24,Thursday,1:23:00 PM,13,CNR7825941026,Completed,,CID234007,Mini,Marathahalli,Langford Town,316,27,4.1,4.5,
04-05-24,Saturday,5:52:00 PM,17,CNR9148580255,Cancelled,Driver Cancelled,CID164393,Prime SUV,Tumkur Road,Magadi Road,138,24,,,
01-05-24,Wednesday,6:18:00 AM,6,CNR2946309760,Incomplete,,CID984343,Prime Plus,Hosur Road,Hennur,467,24,,,
16-05-24,Thursday,10:28:00 PM,22,CNR3472489570,Cancelled,Driver Cancelled,CID621402,Prime SUV,Electronic City,Marathahalli,565,0,,,
01-05-24,Wednesday,11:35:00 AM,11,CNR1768885472,Incomplete,,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,276,0,,,
09-05-24,Thursday,9:44:00 AM,9,CNR7486448495,Completed,,CID931462,Auto,Ulsoor,Padmanabhanagar,296,5,4.4,4.7,
01-05-24,Wednesday,12:45:00 PM,12,CNR2735636504,Cancelled,Customer Cancelled,CID111173,Prime SUV,Cox Town,Chamarajpet,1310,0,,,
31-05-24,Friday,8:43:00 PM,20,CNR7533317866,Completed,,CID867762,Mini,Shantinagar,Hulimavu,771,0,4.7,4.9,
17-05-24,Friday,6:16:00 AM,6,CNR5758479139,Completed,,CID805528,Prime Sedan,RT Nagar,Chickpet,279,43,4.7,3.9,
14-05-24,Tuesday,12:19:00 AM,0,CNR8021985469,Completed,,CID604351,Mini,Hosur Road,Kadugodi,321,39,4.5,4.5,
08-05-24,Wednesday,9:28:00 AM,9,CNR3800597072,Completed,,CID386103,Mini,JP Nagar,Chickpet,457,1,3.6,4.3,
19-05-24,Sunday,4:26:00 PM,16,CNR6179425512,Cancelled,Driver Unavailable,CID607886,Mini,Bannerghatta Road,Basavanagudi,139,45,,,
14-05-24,Tuesday,4:03:00 PM,16,CNR7924302885,Completed,,CID517661,Auto,Magadi Road,Nagarbhavi,685,7,4.6,4.6,
27-05-24,Monday,6:44:00 AM,6,CNR7181374756,Completed,,CID700952,Auto,Devanahalli,Kammanahalli,150,0,4,3.9,
14-05-24,Tuesday,8:16:00 AM,8,CNR2830899440,Cancelled,Driver Unavailable,CID808607,Mini,Kadugodi,Frazer Town,196,21,,,
20-05-24,Monday,11:01:00 AM,11,CNR7592165192,Cancelled,Driver Cancelled,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,424,0,,,
01-05-24,Wednesday,9:35:00 AM,9,CNR6077524333,Completed,,CID708519,Prime SUV,Chickpet,Shantinagar,827,0,4.9,4,
12-05-24,Sunday,8:25:00 PM,20,CNR8854206454,Completed,,CID932765,eBike,Langford Town,Kadugodi,770,27,4.2,4,
16-05-24,Thursday,8:38:00 AM,8,CNR6387231274,Incomplete,,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,325,0,,,
26-05-24,Sunday,7:13:00 AM,7,CNR6215530366,Completed,,CID713821,eBike,Devanahalli,Jayanagar,986,18,4.6,4.6,
21-05-24,Tuesday,2:46:00 PM,14,CNR4314026109,Completed,,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,2208,40,4.5,4.2,
14-05-24,Tuesday,9:32:00 AM,9,CNR9027465661,Completed,,CID737388,Prime Sedan,BTM Layout,Majestic,1695,20,3.9,4.1,
22-05-24,Wednesday,1:18:00 PM,13,CNR5003494701,Completed,,CID761134,Mini,Sarjapur Road,Majestic,305,0,4.9,3.9,
25-05-24,Saturday,11:49:00 AM,11,CNR2064658821,Completed,,CID954441,Bike,Peenya,Devanahalli,2271,37,3.9,4.1,
09-05-24,Thursday,4:18:00 PM,16,CNR2149029235,Cancelled,Driver Cancelled,CID596869,Auto,Chickpet,Hennur,240,4,,,
11-05-24,Saturday,9:55:00 AM,9,CNR9704400677,Cancelled,Driver Unavailable,CID974657,Mini,Langford Town,Vijayanagar,482,37,,,
25-05-24,Saturday,12:08:00 AM,0,CNR8836460204,Completed,,CID716037,eBike,Bellandur,Shantinagar,536,17,3.8,4.3,
01-05-24,Wednesday,7:08:00 AM,7,CNR3697318609,Cancelled,Customer Cancelled,CID915228,Bike,Sarjapur Road,Chickpet,188,37,,,
14-05-24,Tuesday,10:30:00 AM,10,CNR6541289543,Completed,,CID656539,Prime SUV,Frazer Town,Whitefield,202,0,4.1,4.5,
29-05-24,Wednesday,1:54:00 PM,13,CNR8369601219,Cancelled,Customer Cancelled,CID581505,Prime SUV,Richmond Town,Jayanagar,1609,0,,,
08-05-24,Wednesday,6:35:00 AM,6,CNR8346388703,Completed,,CID680143,Mini,Magadi Road,BTM Layout,1821,0,3.6,4.4,
02-05-24,Thursday,4:15:00 PM,16,CNR4445082348,Completed,,CID336831,Mini,Yelahanka,BTM Layout,415,22,4.6,4.7,
01-05-24,Wednesday,1:45:00 PM,13,CNR5528764313,Completed,,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,2125,6,4.2,3.9,
10-05-24,Friday,3:27:00 PM,15,CNR3967141568,Completed,,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,758,0,4.8,5,
10-05-24,Friday,8:48:00 AM,8,CNR7054352438,Completed,,CID270321,Mini,Hennur,Cox Town,653,0,3.9,4.4,
08-05-24,Wednesday,8:20:00 AM,8,CNR1640228587,Completed,,CID190281,Prime Sedan,Kengeri,Mysore Road,704,42,3.9,4.1,
19-05-24,Sunday,10:32:00 AM,10,CNR6684033796,Cancelled,Customer Cancelled,CID352268,Auto,Indiranagar,Whitefield,385,19,,,
10-05-24,Friday,6:22:00 PM,18,CNR4158584922,Completed,,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,934,12,4.5,3.9,
13-05-24,Monday,10:00:00 AM,10,CNR5133236273,Completed,,CID905849,Prime Plus,Banashankari,Chickpet,615,0,4.2,4.1,
24-05-24,Friday,1:02:00 PM,13,CNR5661490576,Completed,,CID546076,Bike,Magadi Road,Electronic City,2202,44,4.2,4.7,
07-05-24,Tuesday,8:33:00 AM,8,CNR2304446757,Completed,,CID432144,eBike,Rajarajeshwari Nagar,MG Road,205,43,4.6,4.4,
13-05-24,Monday,2:24:00 PM,14,CNR3780555542,Completed,,CID803813,Mini,Tumkur Road,Chamarajpet,513,0,3.9,3.9,
21-05-24,Tuesday,8:31:00 AM,8,CNR1559782157,Cancelled,Driver Cancelled,CID906966,Auto,Ulsoor,Bellandur,247,8,,,
23-05-24,Thursday,3:54:00 AM,3,CNR7623690602,Completed,,CID526261,Bike,Cox Town,Malleshwaram,558,41,3.7,4.2,
09-05-24,Thursday,8:08:00 AM,8,CNR2098165198,Cancelled,Driver Unavailable,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,291,5,,,
14-05-24,Tuesday,8:55:00 PM,20,CNR5502012579,Completed,,CID748475,Mini,Vijayanagar,Kengeri,925,22,4.7,4.5,
07-05-24,Tuesday,6:56:00 AM,6,CNR4698965967,Cancelled,Driver Cancelled,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,121,44,,,
08-05-24,Wednesday,9:41:00 AM,9,CNR8566688320,Incomplete,,CID175878,Bike,Chickpet,Shivajinagar,404,0,,,
21-05-24,Tuesday,4:11:00 PM,16,CNR8014852782,Completed,,CID737119,Prime Plus,Kammanahalli,Magadi Road,223,0,4.5,4.3,
16-05-24,Thursday,8:11:00 AM,8,CNR6012739836,Completed,,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,2989,0,4.9,4.4,
01-05-24,Wednesday,10:56:00 AM,10,CNR3404012927,Cancelled,Customer Cancelled,CID344186,Mini,Chickpet,Chamarajpet,728,14,,,
20-05-24,Monday,7:09:00 AM,7,CNR9282027845,Cancelled,Customer Cancelled,CID767941,Bike,Yeshwanthpur,KR Puram,2416,49,,,
11-05-24,Saturday,12:43:00 PM,12,CNR5508853708,Completed,,CID812594,Prime Plus,Shivajinagar,HSR Layout,371,0,4.6,4.9,
09-05-24,Thursday,1:58:00 AM,1,CNR4241139229,Completed,,CID133723,Prime Plus,Kammanahalli,Shivajinagar,258,32,4.6,4.2,
23-05-24,Thursday,1:06:00 PM,13,CNR8306274838,Cancelled,Driver Cancelled,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,170,0,,,
12-05-24,Sunday,9:49:00 AM,9,CNR1903850514,Completed,,CID126419,eBike,Mysore Road,Vijayanagar,151,0,3.7,5,
05-05-24,Sunday,8:00:00 PM,20,CNR1852948877,Completed,,CID953990,Prime Sedan,Yelahanka,Majestic,425,0,4.1,3.9,
19-05-24,Sunday,11:56:00 PM,23,CNR5744401218,Completed,,CID507511,Bike,Yelahanka,Varthur,220,2,4.2,4.3,
06-05-24,Monday,2:05:00 AM,2,CNR7221640450,Completed,,CID195611,Prime Sedan,RT Nagar,Whitefield,472,16,4.7,4.4,
26-05-24,Sunday,9:00:00 AM,9,CNR8395803905,Cancelled,Driver Unavailable,CID925776,eBike,Bannerghatta Road,RT Nagar,616,0,,,
23-05-24,Thursday,5:05:00 PM,17,CNR3750351374,Completed,,CID524066,Prime SUV,Mysore Road,Peenya,473,49,3.7,4.8,
25-05-24,Saturday,8:34:00 AM,8,CNR2869164142,Completed,,CID884352,Prime SUV,BTM Layout,Malleshwaram,259,11,4.6,4.7,
23-05-24,Thursday,6:03:00 PM,18,CNR8303547069,Completed,,CID471469,Mini,Langford Town,Richmond Town,310,2,4.2,5,
30-05-24,Thursday,3:48:00 PM,15,CNR7368110421,Completed,,CID372218,Mini,Peenya,Sarjapur Road,200,0,3.6,4.7,
11-05-24,Saturday,10:38:00 AM,10,CNR7500310853,Incomplete,,CID377809,Prime Sedan,Jayanagar,Richmond Town,471,39,,,
02-05-24,Thursday,12:26:00 PM,12,CNR8925319975,Completed,,CID388701,Prime Sedan,Yelahanka,Rajajinagar,442,37,4.2,4.9,
26-05-24,Sunday,4:32:00 PM,16,CNR9261561390,Completed,,CID853883,Auto,Koramangala,Majestic,228,10,4,4.2,
06-05-24,Monday,11:27:00 AM,11,CNR3165383119,Cancelled,Driver Unavailable,CID765484,Prime SUV,Devanahalli,KR Puram,232,0,,,
05-05-24,Sunday,12:22:00 PM,12,CNR7006798592,Completed,,CID786658,Prime Sedan,Ulsoor,RT Nagar,344,0,3.9,4.6,
16-05-24,Thursday,8:07:00 PM,20,CNR5613886410,Cancelled,Driver Cancelled,CID107686,Auto,Marathahalli,KR Puram,2604,10,,,
06-05-24,Monday,10:51:00 AM,10,CNR5841521780,Cancelled,Driver Unavailable,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,274,37,,,
31-05-24,Friday,3:30:00 PM,15,CNR1281921513,Completed,,CID163474,Mini,Malleshwaram,Magadi Road,895,0,4.5,4.5,
10-05-24,Friday,8:19:00 PM,20,CNR2959980296,Cancelled,Driver Unavailable,CID509309,Bike,Hosur Road,Richmond Town,279,34,,,
18-05-24,Saturday,12:58:00 PM,12,CNR6765124275,Completed,,CID630281,Prime Sedan,Chamarajpet,Banashankari,1946,16,4.9,4,
16-05-24,Thursday,11:33:00 PM,23,CNR9762994658,Completed,,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,1024,4,4.5,4.8,
23-05-24,Thursday,4:09:00 PM,16,CNR8072285783,Cancelled,Driver Cancelled,CID652081,Prime Plus,Frazer Town,Sarjapur Road,294,0,,,
12-05-24,Sunday,12:13:00 AM,0,CNR8116331340,Completed,,CID777382,Auto,RT Nagar,Sarjapur Road,252,8,4.6,3.9,
05-05-24,Sunday,10:26:00 PM,22,CNR3491700602,Incomplete,,CID247449,Mini,Richmond Town,Langford Town,2542,2,,,
09-05-24,Thursday,11:43:00 AM,11,CNR2166456022,Incomplete,,CID930312,Mini,Yeshwanthpur,Indiranagar,1821,34,,,
28-05-24,Tuesday,11:57:00 AM,11,CNR2177201692,Cancelled,Driver Cancelled,CID614111,Mini,Richmond Town,Yeshwanthpur,200,31,,,
15-05-24,Wednesday,2:44:00 AM,2,CNR5755482161,Cancelled,Driver Cancelled,CID126097,Prime SUV,Koramangala,Indiranagar,152,0,,,
25-05-24,Saturday,6:16:00 AM,6,CNR4484571820,Cancelled,Driver Unavailable,CID645793,Auto,HSR Layout,Hosur Road,2388,4,,,
20-05-24,Monday,5:20:00 AM,5,CNR7377461832,Completed,,CID719814,eBike,Ulsoor,Padmanabhanagar,783,37,3.9,3.8,
15-05-24,Wednesday,8:20:00 AM,8,CNR2363111317,Cancelled,Driver Unavailable,CID665310,Prime Plus,Electronic City,KR Puram,208,0,,,
23-05-24,Thursday,10:53:00 AM,10,CNR2976802436,Completed,,CID592039,Prime SUV,Tumkur Road,Cox Town,1181,10,3.9,4.8,
06-05-24,Monday,7:31:00 AM,7,CNR8474873609,Completed,,CID968838,Prime Plus,HSR Layout,KR Puram,843,0,4.3,4.9,
19-05-24,Sunday,2:08:00 PM,14,CNR1945536909,Cancelled,Driver Unavailable,CID796614,Auto,Sahakar Nagar,JP Nagar,441,7,,,
27-05-24,Monday,9:30:00 AM,9,CNR8097291227,Cancelled,Driver Cancelled,CID734844,Prime Plus,Mysore Road,Rajajinagar,332,38,,,
18-05-24,Saturday,12:35:00 PM,12,CNR1433815646,Completed,,CID307267,Prime SUV,Banashankari,Marathahalli,832,11,4.5,4.5,
20-05-24,Monday,3:23:00 AM,3,CNR5876056264,Completed,,CID568720,Prime SUV,Kadugodi,Shantinagar,1361,47,4.1,4.7,
16-05-24,Thursday,11:39:00 PM,23,CNR2943788515,Completed,,CID627311,Bike,Shantinagar,Ramamurthy Nagar,415,0,4.5,4.1,
04-05-24,Saturday,4:33:00 PM,16,CNR5599931622,Cancelled,Driver Cancelled,CID822709,Prime SUV,Peenya,Frazer Town,747,28,,,
12-05-24,Sunday,11:46:00 AM,11,CNR6776927575,Completed,,CID817693,Bike,Hosur Road,Nagarbhavi,129,5,4,4.2,
10-05-24,Friday,6:06:00 PM,18,CNR4880622143,Cancelled,Driver Cancelled,CID602848,eBike,Rajajinagar,Kammanahalli,296,34,,,
16-05-24,Thursday,7:28:00 PM,19,CNR2841702950,Completed,,CID268274,Auto,Sarjapur Road,Sarjapur Road,337,18,4,3.8,
08-05-24,Wednesday,3:28:00 PM,15,CNR2747846957,Cancelled,Driver Unavailable,CID700413,Prime Sedan,Majestic,Malleshwaram,896,45,,,
23-05-24,Thursday,3:50:00 PM,15,CNR4795488474,Cancelled,Driver Unavailable,CID943263,Prime Sedan,Peenya,Frazer Town,151,11,,,
25-05-24,Saturday,2:24:00 PM,14,CNR6662649739,Completed,,CID295666,Auto,Ramamurthy Nagar,Banashankari,940,7,4.5,3.9,
30-05-24,Thursday,7:28:00 AM,7,CNR2524442918,Completed,,CID471692,Prime Plus,Hulimavu,RT Nagar,729,13,3.6,4.9,
10-05-24,Friday,12:13:00 PM,12,CNR4977956798,Completed,,CID782900,Auto,Banashankari,Sarjapur Road,128,1,4.6,3.8,
25-05-24,Saturday,9:34:00 AM,9,CNR2002215420,Completed,,CID109502,Prime SUV,Whitefield,BTM Layout,274,42,3.5,4.2,
15-05-24,Wednesday,5:03:00 AM,5,CNR9590311980,Completed,,CID957268,Auto,Bannerghatta Road,Tumkur Road,352,8,3.9,4.1,
24-05-24,Friday,3:09:00 AM,3,CNR3124565731,Completed,,CID578023,Auto,Basavanagudi,Chickpet,238,6,3.9,4.5,
29-05-24,Wednesday,3:18:00 PM,15,CNR6090870401,Completed,,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,477,19,3.8,4.5,
11-05-24,Saturday,8:21:00 AM,8,CNR9405757355,Completed,,CID176162,Auto,Richmond Town,Banashankari,186,15,3.9,4.3,
17-05-24,Friday,7:12:00 AM,7,CNR7078608984,Completed,,CID926832,eBike,Shantinagar,Hebbal,117,0,4.8,3.9,
10-05-24,Friday,6:34:00 AM,6,CNR4166475803,Completed,,CID615978,Prime SUV,Banashankari,Yelahanka,193,13,4.4,4.8,
06-05-24,Monday,10:33:00 PM,22,CNR3641224150,Cancelled,Driver Cancelled,CID431557,Mini,Majestic,Magadi Road,395,41,,,
15-05-24,Wednesday,11:10:00 PM,23,CNR7307808711,Completed,,CID928859,Prime SUV,MG Road,BTM Layout,857,45,4.8,5,
22-05-24,Wednesday,6:12:00 AM,6,CNR9207534980,Completed,,CID926602,Prime Plus,Whitefield,Kammanahalli,819,0,4.9,4.7,
21-05-24,Tuesday,5:03:00 AM,5,CNR8478607960,Completed,,CID374876,Prime Sedan,Shivajinagar,BTM Layout,484,16,4.7,4.4,
24-05-24,Friday,12:27:00 PM,12,CNR6867991693,Completed,,CID139968,Prime Plus,Bellandur,Indiranagar,648,3,4.2,4.4,
19-05-24,Sunday,11:00:00 AM,11,CNR4134417165,Cancelled,Driver Cancelled,CID298474,Bike,Ulsoor,Whitefield,153,20,,,
21-05-24,Tuesday,3:47:00 AM,3,CNR6026842144,Completed,,CID533256,Prime SUV,Bannerghatta Road,Padmanabhanagar,232,28,4,4,
09-05-24,Thursday,11:13:00 AM,11,CNR1373400641,Completed,,CID137733,Mini,Shivajinagar,Kadugodi,478,0,4.4,4.1,
13-05-24,Monday,6:59:00 AM,6,CNR7756361076,Completed,,CID843494,Auto,Koramangala,Hebbal,850,0,3.8,4.2,
23-05-24,Thursday,12:19:00 PM,12,CNR1058833099,Cancelled,Driver Cancelled,CID705304,Bike,Frazer Town,Jayanagar,673,25,,,
16-05-24,Thursday,12:04:00 PM,12,CNR8150133799,Completed,,CID406881,eBike,Chickpet,HSR Layout,315,0,4.2,4.3,
11-05-24,Saturday,10:54:00 AM,10,CNR3136784868,Cancelled,Driver Unavailable,CID703583,Prime SUV,Shivajinagar,Indiranagar,1033,2,,,
30-05-24,Thursday,6:25:00 AM,6,CNR2919641369,Completed,,CID137586,Prime SUV,Tumkur Road,Langford Town,825,0,4.4,3.8,
24-05-24,Friday,8:14:00 AM,8,CNR4311649934,Incomplete,,CID379072,Prime SUV,Sahakar Nagar,Hosur Road,213,0,,,
28-05-24,Tuesday,6:25:00 AM,6,CNR8258871692,Completed,,CID804974,Auto,Peenya,Cox Town,125,0,4,3.9,
10-05-24,Friday,8:54:00 AM,8,CNR7844432925,Cancelled,Driver Cancelled,CID635965,Prime SUV,Electronic City,KR Puram,362,36,,,
30-05-24,Thursday,10:24:00 AM,10,CNR3149119791,Cancelled,Driver Cancelled,CID606573,Mini,Hebbal,Ulsoor,471,22,,,
29-05-24,Wednesday,12:16:00 PM,12,CNR6545513695,Completed,,CID932866,Prime SUV,Kengeri,Devanahalli,163,23,4.3,3.9,
27-05-24,Monday,7:24:00 AM,7,CNR6427297269,Completed,,CID418039,Mini,Shivajinagar,KR Puram,142,6,3.9,4.3,
12-05-24,Sunday,1:05:00 PM,13,CNR1684336791,Completed,,CID339379,Prime Plus,HSR Layout,Kengeri,451,0,4.9,4.7,
27-05-24,Monday,6:42:00 AM,6,CNR8107628541,Completed,,CID131079,Prime SUV,Peenya,Kadugodi,358,0,4.5,4.7,
